### Data from table 1 of 
###
### "Mechanisms of ester hydrolysis in aqueous sulfuric acids"
### Keith. Yates and Robert A. McClelland
### Journal of the American Chemical Society 1967 89 (11), 2686-2692
### https://doi.org/10.1021/ja00987a033
### mcclelland-yates-2002-mechanisms-of-ester-hydrolysis-in-aqueous-sulfuric-acids.pdf
### ja00987a033_Yates.pdf
###
### rates of hydrolysis of various esters
### in various sulfuric acid mixtures
###
### Temp = 25.0 deg C
### kobs units are (/ 10-2 min-1)
###
### NOTE: Values for MeOAc where %H2SO4 > 80.0% are digitized from figure #1. 
###       
### NOTE: values for EtOac from...
### "The Hydrolysis of Ethyl Acetate in Concentrated Aqueous Sulphuric Acid." D. Jaques, J. Chem. Soc. 1965, 3854–3904. https://doi.org/10.1039/JR9650003854.
### and "The Kinetics of Ester Hydrolysis in Concentrated Aqueous Acids." R.P. Bell, A.L. Dowding, J.A. Noble, J. Chem. Soc. 1955, 3106–3110. https://doi.org/10.1039/JR9550003106.
###
###
###
"Ester", "%H2SO4",  "kobs"
PhOAc,       30.2,          3.30
PhOAc,       34.8,          4.34
PhOAc,       40.4,          6.20
PhOAc,       45.4,          8.36
PhOAc,       50.2,         10.9
PhOAc,       55.2,         14.5
PhOAc,       60.4,         19.2
PhOAc,       65.2,         22.6
PhOAc,       70.4,         27.2
PhOAc,       74.1,         29.3
p-ClPhOAc,   15.1,          0.922
p-ClPhOAc,   34.8,          4.25
p-ClPhOAc,   45.4,          7.90
p-ClPhOAc,   55.2,         13.4
p-ClPhOAc,   65.2,         22.7
p-ClPhOAc,   70.4,         27.3
p-ClPhOAc,   74.1,         38.2
p-NO2PhOAc,  15.1,          0.751
p-NO2PhOAc,  20.1,          1.12
p-NO2PhOAc,  25.3,          1.52
p-NO2PhOAc,  30.2,          2.36
p-NO2PhOAc,  34.8,          3.09
p-NO2PhOAc,  40.4,          4.27
p-NO2PhOAc,  45.4,          5.71
p-NO2PhOAc,  50.2,          7.81
p-NO2PhOAc,  55.2,         10.8
p-NO2PhOAc,  60.4,         15.2
p-NO2PhOAc,  65.2,         21.3
p-NO2PhOAc,  70.4,         36.1
p-NO2PhOAc,  74.1,         70.5
p-NO2PhOAc,  75.3,         93.3
p-NO2PhOAc,  77.7,        161
p-NO2PhOAc,  78.5,        158
p-NO2PhOAc,  80.0,        222
### Data for ethyl Benzoate from..
### "Effect of sulfuric acid concentration on the rates of hydrolysis of ethyl benzoate ethyl thiolbenzoate, and ethyl thionbenzoate"
### J.T. Edwards, S.C. Wong
### J. Am. Chem. Soc., 1977, 99(22), 7224 – 7228, DOI: 10.1021/ja00464a022
### 25 degC
### Ester,   %H2SO4,    10^2 k_obs /min 
EtOBz,      31.7,        0.0258
EtOBz,      39.8,        0.0504 
EtOBz,      48.7,        0.0888 
EtOBz,      55.3,        0.1152
EtOBz,      63.0,        0.102 
EtOBz,      68.1,        0.0864 
EtOBz,      73.0,        0.066
EtOBz,      76.5,        0.0408
EtOBz,      80.5,        0.0294
EtOBz,      85.9,        0.0396
EtOBz,      90.6,        0.0768
EtOBz,      95.6,        0.123
EtOBz,      99.0,        0.2142













