# From "Perry's Chemical Engineers' Handbook" 7th ed.
#
# Perry's Chemical Engineers Handbook-7th ed.pdf
# page 2-107
# Also available from CRC handbook of chemistry and physics
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/contents/InteractiveTable.xhtml?dswid=3969
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/documents/06_65/06_65_0001.xhtml?dswid=6071
#
# pure water densities also from CRC
#
"%H2SO4", "0C", "10C", "15C",  "20C",    "25C",   "30C",   "40C",   "50C",   "60C",   "80C",   "100C"
75,  1.6888,  1.6789,  1.6740,  1.6692,  1.6644,  1.6597,  1.6503,  1.6412,  1.6322,  1.6142,  1.5966
76,  1.7008,  1.6908,  1.6858,  1.6810,  1.6761,  1.6713,  1.6619,  1.6526,  1.6435,  1.6252,  1.6074
77,  1.7128,  1.7026,  1.6976,  1.6927,  1.6878,  1.6829,  1.6734,  1.6640,  1.6547,  1.6361,  1.6181
78,  1.7247,  1.7144,  1.7093,  1.7043,  1.6994,  1.6944,  1.6847,  1.6751,  1.6657,  1.6469,  1.6286
79,  1.7365,  1.7261,  1.7209,  1.7158,  1.7108,  1.7058,  1.6959,  1.6862,  1.6766,  1.6575,  1.6390
80,  1.7482,  1.7376,  1.7323,  1.7272,  1.7221,  1.7170,  1.7069,  1.6971,  1.6873,  1.6680,  1.6493
81,  1.7597,  1.7489,  1.7435,  1.7383,  1.7331,  1.7279,  1.7177,  1.7077,  1.6978,  1.6782,  1.6594
82,  1.7709,  1.7599,  1.7544,  1.7491,  1.7437,  1.7385,  1.7281,  1.7180,  1.7080,  1.6882,  1.6692
83,  1.7815,  1.7704,  1.7649,  1.7594,  1.7540,  1.7487,  1.7382,  1.7279,  1.7179,  1.6979,  1.6787
84,  1.7916,  1.7804,  1.7748,  1.7693,  1.7639,  1.7585,  1.7479,  1.7375,  1.7274,  1.7072,  1.6878
85,  1.8009,  1.7897,  1.7841,  1.7786,  1.7732,  1.7678,  1.7571,  1.7466,  1.7364,  1.7161,  1.6966
86,  1.8095,  1.7983,  1.7927,  1.7872,  1.7818,  1.7763,  1.7657,  1.7552,  1.7449,  1.7245,  1.7050
87,  1.8173,  1.8061,  1.8006,  1.7951,  1.7897,  1.7842,  1.7736,  1.7632,  1.7529,  1.7324,  1.7129
88,  1.8243,  1.8132,  1.8077,  1.8022,  1.7968,  1.7914,  1.7809,  1.7705,  1.7602,  1.7397,  1.7202
89,  1.8306,  1.8195,  1.8141,  1.8087,  1.8033,  1.7979,  1.7874,  1.7770,  1.7669,  1.7464,  1.7269
90,  1.8361,  1.8252,  1.8198,  1.8144,  1.8091,  1.8038,  1.7933,  1.7829,  1.7729,  1.7525,  1.7331
91,  1.8410,  1.8302,  1.8248,  1.8195,  1.8142,  1.8090,  1.7986,  1.7883,  1.7783,  1.7581,  1.7388
92,  1.8453,  1.8346,  1.8293,  1.8240,  1.8188,  1.8136,  1.8033,  1.7932,  1.7832,  1.7633,  1.7439
93,  1.8490,  1.8384,  1.8331,  1.8279,  1.8227,  1.8176,  1.8074,  1.7974,  1.7876,  1.7681,  1.7485
94,  1.8520,  1.8415,  1.8363,  1.8312,  1.8260,  1.8210,  1.8109,  1.8011,  1.7914,  NaN,     NaN
95,  1.8544,  1.8439,  1.8388,  1.8337,  1.8286,  1.8236,  1.8137,  1.8040,  1.7944,  NaN,     NaN
96,  1.8560,  1.8457,  1.8406,  1.8355,  1.8305,  1.8255,  1.8157,  1.8060,  1.7965,  NaN,     NaN
97,  1.8569,  1.8466,  1.8414,  1.8364,  1.8314,  1.8264,  1.8166,  1.8071,  1.7977,  NaN,     NaN
98,  1.8567,  1.8463,  1.8411,  1.8361,  1.8310,  1.8261,  1.8163,  1.8068,  1.7976,  NaN,     NaN
99,  1.8551,  1.8445,  1.8393,  1.8342,  1.8292,  1.8242,  1.8145,  1.8050,  1.7958,  NaN,     NaN
100, 1.8517,  1.8409,  1.8357,  1.8305,  1.8255,  1.8205,  1.8107,  1.8013,  1.7922,  NaN,     NaN
